Date,Open,High,Low,Close,Volume
2007-08-27,257.46,258.98,255.95,256.88,2325049
2007-08-28,256.01,257.74,253.14,253.45,3275023
2007-08-29,254.17,256.9,253.86,256.69,2550539
2007-08-30,256.43,257.95,255.54,255.95,2653547
2007-08-31,256.8,258.5,255.98,257.87,2977506
2007-09-04,257.76,264.26,257.56,262.83,3696830
2007-09-05,261.95,265.0,261.38,264.16,3314006
2007-09-06,264.94,265.17,259.37,262.01,3634263
2007-09-07,259.18,260.87,258.65,259.93,3663641
2007-09-10,260.89,261.29,255.69,257.49,3226721
2007-09-11,258.75,261.08,258.12,260.92,2704265
2007-09-12,260.52,264.25,259.75,261.58,2986903
2007-09-13,262.28,263.86,261.86,262.64,1892758
2007-09-14,261.85,265.39,261.36,264.63,2765940
2007-09-17,263.52,264.9,262.29,262.9,2198559
2007-09-18,263.52,268.89,262.39,267.89,4223173
2007-09-19,269.9,274.99,269.69,273.69,5527900
2007-09-20,273.77,278.67,273.28,276.68,5531347
2007-09-21,278.44,280.67,276.68,280.32,8012996
2007-09-24,280.77,286.01,280.27,284.29,5299786
2007-09-25,282.27,285.06,281.7,284.78,2730639
2007-09-26,285.48,286.17,282.18,284.36,3346447
2007-09-27,286.14,286.15,283.16,284.03,2056256
2007-09-28,283.77,285.05,282.33,283.91,2639458
2007-10-01,285.26,292.46,285.08,291.56,4714446
2007-10-02,291.97,298.69,290.29,292.48,7067477
2007-10-03,293.41,294.78,290.46,292.29,3884247
2007-10-04,292.83,292.83,288.81,289.8,2988773
2007-10-05,293.84,298.29,293.79,297.31,5073044
